scenario,time_sec
0,0.6490390300750732
1,0.1600651741027832
2,0.15781283378601074
3,0.16978883743286133
4,0.1737520694732666
5,0.16063404083251953
6,0.15805482864379883
7,0.19559192657470703
8,0.18106794357299805
9,0.18410897254943848
10,0.15941095352172852
11,0.16686415672302246
12,0.14944720268249512
13,0.15662169456481934
14,0.15681791305541992
15,0.1655266284942627
16,0.15761494636535645
17,0.1562519073486328
18,0.15615510940551758
19,0.16606593132019043
20,0.14915800094604492
21,0.14707207679748535
22,0.15723609924316406
23,0.1573038101196289
24,0.14967870712280273
25,0.1469118595123291
26,0.15838193893432617
27,0.15219974517822266
28,0.15187406539916992
29,0.1591041088104248
30,0.15754318237304688
31,0.16014480590820312
32,0.17888808250427246
33,0.16779398918151855
34,0.18495583534240723
35,0.1685190200805664
36,0.21273303031921387
37,0.17914223670959473
38,0.20159101486206055
39,0.47745323181152344
40,0.46008920669555664
41,0.1690070629119873
42,0.41571712493896484
43,0.16934514045715332
44,0.16265583038330078
45,0.17167425155639648
46,0.17977595329284668
47,0.15674901008605957
48,0.41005897521972656
49,0.16088199615478516
50,0.169097900390625
51,0.1617741584777832
52,0.17330098152160645
53,0.2828671932220459
54,0.519362211227417
55,0.15805578231811523
56,0.16384601593017578
57,0.18287301063537598
58,0.16816473007202148
59,0.1638660430908203
60,0.1768958568572998
61,0.15856099128723145
62,0.1633620262145996
63,0.1619861125946045
64,0.15823626518249512
65,0.15608882904052734
66,0.16104602813720703
67,0.16065692901611328
68,0.158674955368042
69,0.1881699562072754
70,0.16614794731140137
71,0.26317286491394043
72,0.18689298629760742
73,0.17420220375061035
74,0.16802096366882324
75,0.15817594528198242
76,0.14685583114624023
77,0.16579246520996094
78,0.16100716590881348
79,0.17173314094543457
80,0.16207408905029297
81,0.1795215606689453
82,0.19950318336486816
83,0.16337084770202637
84,0.16227984428405762
85,0.16092371940612793
86,0.1562349796295166
87,0.1471259593963623
88,0.15105795860290527
89,0.16373777389526367
90,0.1563129425048828
91,0.15801405906677246
92,0.1602489948272705
93,0.1608288288116455
94,0.1559290885925293
95,0.1766374111175537
96,0.16492605209350586
97,0.16083097457885742
98,0.15640711784362793
99,0.15683293342590332
100,0.15995311737060547
101,0.34366393089294434
102,0.1556239128112793
103,0.16449308395385742
104,0.1605219841003418
105,0.15715408325195312
106,0.15656018257141113
107,0.16153907775878906
108,0.15949797630310059
109,0.15761208534240723
110,0.1733870506286621
111,0.16588282585144043
112,0.16214895248413086
113,0.15737295150756836
114,0.17388105392456055
115,0.17419171333312988
116,0.16196417808532715
117,0.15825629234313965
118,0.18793082237243652
119,0.16410303115844727
120,0.15639090538024902
121,0.17507314682006836
122,0.16066813468933105
123,0.15427398681640625
124,0.16566014289855957
125,0.14754891395568848
126,0.16641497611999512
127,0.1561567783355713
128,0.15665388107299805
129,0.15680408477783203
130,0.16115474700927734
131,0.1537320613861084
132,0.15632414817810059
133,0.15655112266540527
134,0.16618990898132324
135,0.16218996047973633
136,0.17423295974731445
137,0.15010285377502441
138,0.15197396278381348
139,0.16433000564575195
140,0.2133500576019287
141,0.21698498725891113
142,0.16967296600341797
143,0.14884400367736816
144,0.1563420295715332
145,0.16416692733764648
146,0.1895160675048828
147,0.1775050163269043
148,0.1743779182434082
149,0.1829829216003418
150,0.197767972946167
151,0.3097250461578369
152,0.20443320274353027
153,0.16640496253967285
154,0.17643022537231445
155,0.21928787231445312
156,0.20135712623596191
157,0.15877103805541992
158,0.18379783630371094
159,0.1606462001800537
160,0.14950823783874512
161,0.18015098571777344
162,0.15602803230285645
163,0.1618051528930664
164,0.3820648193359375
165,0.1773521900177002
166,0.1625370979309082
167,0.156829833984375
168,0.18443012237548828
169,0.16595673561096191
170,0.1567528247833252
171,0.1497647762298584
172,0.19069385528564453
173,0.1727762222290039
174,0.1664278507232666
175,0.17089581489562988
176,0.1635739803314209
177,0.16503286361694336
178,0.15917396545410156
179,0.18033981323242188
180,0.16373777389526367
181,0.1622450351715088
182,0.17565417289733887
183,0.15604090690612793
184,0.15720319747924805
185,0.1613919734954834
186,0.15838003158569336
187,0.15806221961975098
188,0.1637251377105713
189,0.1614058017730713
190,0.1759779453277588
191,0.16380596160888672
192,0.16718006134033203
193,0.15681004524230957
194,0.15837311744689941
195,0.19045495986938477
196,0.1667778491973877
197,0.1568446159362793
198,0.1893620491027832
199,0.16857194900512695
200,0.16742897033691406
201,0.178023099899292
202,0.15666413307189941
203,0.16704821586608887
204,0.15825724601745605
205,0.15844297409057617
206,0.15587782859802246
207,0.16519498825073242
208,0.15749216079711914
209,0.1594548225402832
210,0.15720009803771973
211,0.16553592681884766
212,0.15854287147521973
213,0.1542818546295166
214,0.1604321002960205
215,0.18832087516784668
216,0.1573011875152588
217,0.17334580421447754
218,0.1630561351776123
219,0.15854215621948242
220,0.15681719779968262
221,0.16088104248046875
222,0.1648421287536621
223,0.1605381965637207
224,0.1577441692352295
225,0.18358516693115234
226,0.16733598709106445
227,0.16400885581970215
228,0.17234468460083008
229,0.3762686252593994
230,0.15645480155944824
231,0.1559739112854004
232,0.18282127380371094
233,0.16584396362304688
234,0.1567549705505371
235,0.14808988571166992
236,0.16154909133911133
237,0.16457605361938477
238,0.149367094039917
239,0.148759126663208
240,0.18845319747924805
241,0.17496705055236816
242,0.1482408046722412
243,0.15740418434143066
244,0.16417193412780762
245,0.15573930740356445
246,0.14791488647460938
247,0.17477989196777344
248,0.16185998916625977
249,0.18238425254821777
250,0.16515398025512695
251,0.1531980037689209
252,0.15703773498535156
253,0.16335797309875488
254,0.15447998046875
255,0.18805885314941406
256,0.1561751365661621
257,0.15973711013793945
258,0.18385529518127441
259,0.21706080436706543
260,0.1700291633605957
261,0.15139293670654297
262,0.15934014320373535
263,0.1620469093322754
264,0.15832018852233887
265,0.15811371803283691
266,0.17247796058654785
267,0.21582388877868652
268,0.18837213516235352
269,0.17177176475524902
270,0.1787567138671875
271,0.1712360382080078
272,0.17892193794250488
273,0.15780186653137207
274,0.16677498817443848
275,0.16836786270141602
276,0.1864757537841797
277,0.15728998184204102
278,0.16776680946350098
279,0.17657899856567383
280,0.16582584381103516
281,0.1618940830230713
282,0.16053986549377441
283,0.15812993049621582
284,0.15926098823547363
285,0.16129112243652344
286,0.16224908828735352
287,0.168410062789917
288,0.1550428867340088
289,0.17201566696166992
290,0.16608309745788574
291,0.16538119316101074
