scenario,time_att1,time_att3
0,2.411997079849243,9.362498998641968
1,1.3195910453796387,5.1436779499053955
2,1.3433589935302734,7.136054039001465
3,2.0437519550323486,6.4493958950042725
4,1.8347058296203613,5.733628988265991
5,1.7314460277557373,5.298248052597046
6,2.272386074066162,6.0603179931640625
7,1.496039867401123,5.011863708496094
8,1.532496690750122,5.345541715621948
9,1.6147170066833496,5.493575096130371
10,2.0550451278686523,7.178575038909912
11,1.5289647579193115,5.93798303604126
12,1.4236819744110107,5.417805910110474
13,1.4326410293579102,6.247231960296631
14,1.3562159538269043,5.743196725845337
15,1.5193979740142822,5.153033018112183
16,1.892273187637329,5.790119886398315
17,1.322510004043579,4.604006767272949
18,1.8358840942382812,5.813169240951538
19,1.7176513671875,4.31945538520813
20,1.3222780227661133,4.193763017654419
21,1.4262299537658691,5.5269999504089355
22,1.427887201309204,5.11938214302063
23,2.0200350284576416,5.623434066772461
24,1.548119068145752,4.994630336761475
25,1.7359447479248047,4.499766826629639
26,1.631885051727295,5.100528717041016
27,1.4242854118347168,5.844505310058594
28,2.0381569862365723,6.260228872299194
29,1.5122959613800049,5.505661964416504
30,1.5324358940124512,5.013760089874268
31,1.4258460998535156,5.841930866241455
32,1.7237470149993896,5.000355958938599
33,1.5286309719085693,5.120217800140381
34,1.3010978698730469,5.836105823516846
35,1.7468740940093994,5.287907123565674
36,1.3236231803894043,4.701910972595215
37,1.7520041465759277,5.328887224197388
38,1.4983279705047607,5.112205743789673
39,1.5328822135925293,4.7117791175842285
40,1.3251628875732422,5.012922763824463
41,1.634721040725708,6.55419921875
42,1.6286978721618652,5.98358678817749
43,1.4813449382781982,5.6836771965026855
44,1.5268926620483398,6.240426778793335
45,1.5962321758270264,5.322145938873291
46,1.839637041091919,5.631108045578003
47,1.4321589469909668,5.837636232376099
48,1.220541000366211,4.332928895950317
49,1.3802552223205566,5.085113048553467
50,1.6312501430511475,4.759454965591431
51,1.7859079837799072,6.193047761917114
52,1.2210760116577148,4.29400897026062
53,1.3303349018096924,4.605472803115845
54,1.478531837463379,5.016815900802612
55,1.6382551193237305,4.914302110671997
56,2.046938896179199,5.428816795349121
57,1.5134820938110352,5.526679992675781
58,1.4263129234313965,5.732119798660278
59,1.2243239879608154,5.246232986450195
60,2.0161750316619873,6.525821208953857
61,1.8938548564910889,4.809693813323975
62,1.7415292263031006,5.32335901260376
63,1.5356671810150146,5.63667106628418
64,1.5259020328521729,6.237168073654175
65,1.6364500522613525,5.529195070266724
66,1.5315649509429932,5.630580902099609
67,1.3184008598327637,4.914844751358032
68,1.3261568546295166,5.197054862976074
69,1.4485859870910645,4.934431076049805
70,1.8378000259399414,5.628834962844849
71,1.431366205215454,5.121937990188599
72,1.4248650074005127,5.116199970245361
73,1.5308809280395508,6.178324937820435
74,1.8121459484100342,6.106839179992676
75,1.7097647190093994,6.524555921554565
76,1.4292550086975098,5.2568440437316895
77,1.595444917678833,5.3914220333099365
78,1.5268700122833252,5.526595115661621
79,2.282626152038574,5.856092929840088
80,1.4563441276550293,5.314910888671875
81,1.6050550937652588,5.482816934585571
82,1.2836089134216309,4.519965887069702
83,1.3410382270812988,4.529361009597778
84,1.2805986404418945,5.38733172416687
85,1.5079200267791748,5.459712982177734
86,1.4329190254211426,4.18859076499939
87,1.3363549709320068,4.870633840560913
88,1.3429019451141357,4.898682117462158
89,1.4714758396148682,5.221621990203857
90,1.5536339282989502,5.339998960494995
91,1.3551950454711914,4.713633060455322
92,1.4256892204284668,5.013153076171875
93,1.2494628429412842,4.397778749465942
94,1.8977258205413818,5.121665000915527
95,1.3243210315704346,5.478899955749512
96,1.5171022415161133,4.95850396156311
97,1.4367871284484863,4.648396968841553
98,1.6965439319610596,5.156866073608398
99,1.4114751815795898,4.404006242752075
100,1.8706440925598145,5.987957000732422
101,2.1884751319885254,6.313496112823486
102,1.2776150703430176,4.111943960189819
103,1.251175880432129,5.077328205108643
104,1.4556353092193604,4.736061096191406
105,1.863297939300537,6.34346604347229
106,1.6360130310058594,4.555041074752808
107,1.3716850280761719,5.584321975708008
108,1.4258089065551758,4.693695068359375
109,1.5269732475280762,5.130086183547974
110,1.3269410133361816,4.8101561069488525
111,1.4313042163848877,5.851146936416626
112,1.5172059535980225,5.102897882461548
113,1.4730069637298584,5.018975019454956
114,1.632861852645874,5.009582757949829
115,1.2953250408172607,5.836881160736084
116,1.328624963760376,5.326372861862183
117,1.4238040447235107,4.911400079727173
118,1.3259150981903076,4.876623153686523
119,1.6735739707946777,5.883018970489502
120,1.8254389762878418,5.61830997467041
121,1.3235478401184082,4.810693740844727
122,1.5299656391143799,6.245346784591675
123,1.7332112789154053,5.932381868362427
124,1.9165680408477783,6.5511579513549805
125,1.5335710048675537,5.940229177474976
126,1.7346110343933105,5.133946895599365
127,1.4116430282592773,4.590520143508911
128,1.4281017780303955,4.81244969367981
129,1.339313268661499,4.0943121910095215
130,1.5286383628845215,5.423412322998047
131,1.2629821300506592,4.404819965362549
132,1.4359848499298096,5.422374963760376
133,2.04129695892334,5.424907684326172
134,1.4258182048797607,4.946655035018921
135,1.4949769973754883,5.3297200202941895
136,1.8995957374572754,6.101583957672119
137,1.3706369400024414,4.70878791809082
138,1.986464023590088,5.4050421714782715
139,1.4456639289855957,5.851314067840576
140,1.7375609874725342,5.736925840377808
141,1.5312800407409668,5.627115964889526
142,1.5309293270111084,5.632649183273315
143,1.5279960632324219,4.912537097930908
144,1.3234970569610596,4.703704833984375
145,1.5331239700317383,5.466220140457153
146,2.0201151371002197,6.0017218589782715
147,1.430365800857544,5.322695970535278
148,2.110851764678955,6.041155815124512
149,2.2568299770355225,5.810733079910278
150,2.2629878520965576,5.760719060897827
151,1.2316927909851074,5.733098030090332
152,1.2161221504211426,4.873826026916504
153,1.5101118087768555,5.241595029830933
154,1.5103323459625244,4.999598264694214
155,1.6521151065826416,5.214807987213135
156,1.2878718376159668,4.832268953323364
157,1.5284042358398438,5.531588077545166
158,1.5264630317687988,5.605021238327026
159,1.9155609607696533,5.81478476524353
160,1.312917709350586,5.335062742233276
161,1.4609158039093018,5.117197036743164
162,1.3569490909576416,5.15186619758606
163,1.427699089050293,5.009328126907349
